session_id	group_id	user_id	destination_id	capture_start_ms	duration_ms	tls_record_count	c2s_record_count	s2c_record_count	c2s_record_bytes	s2c_record_bytes	signed_tls_record_lengths	record_interarrival_ms
CryptoBounty-Benign_s_523b832dfe6c73e1f999	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_5fd85a6388bb0db95085	endpoint_ed922b7e66e576f499b2	8631250.0	140.435	19	7	12	2328	4104	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,278,244,-255,-255,-121,-534,-453,-24,24]	[0.0,28.121,0.009,0.006,0.006,0.005,0.005,24.887,0.007,0.005,0.005,15.721,0.258,0.005,10.994,0.008,7.293,0.009,7.263]
CryptoBounty-Benign_s_44c4fc4fa7b5a12651ee	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_91be8b718366c0f26c5f	endpoint_ed922b7e66e576f499b2	9535562.5	399.975	21	8	13	2737	4597	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,342,-255,-255,245,-122,-662,-662,-155,-24,24]	[0.0,43.751,0.005,0.004,0.004,0.003,0.003,33.672,0.008,0.005,0.006,41.35,1.125,0.007,23.655,47.18,0.009,22.427,25.08,0.007,41.667]
CryptoBounty-Benign_s_4c209545e14d2e5a39ac	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_d0b366127ea6c1972c46	endpoint_ed922b7e66e576f499b2	11722343.75	376.776	19	7	12	2233	3822	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,186,-255,-255,-121,-432,-273,-24,24]	[0.0,48.864,0.008,0.006,0.006,0.005,0.006,40.144,0.005,0.004,0.003,40.552,0.49,0.008,47.157,0.009,33.263,0.011,44.012]
CryptoBounty-Benign_s_bfabfcc664508b4ac0e3	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_9fe15c9b524536fe28a2	endpoint_ed922b7e66e576f499b2	20729906.25	432.133	21	8	13	2868	4660	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,382,382,-255,-255,296,-122,-742,-742,-58,-24,24]	[0.0,43.491,0.008,0.007,0.004,0.005,0.005,33.87,0.006,0.003,0.003,43.833,1.283,0.008,27.769,47.322,0.015,31.137,29.205,0.006,50.027]
CryptoBounty-Benign_s_e383ef6cc9a53bd78288	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_71af576c2244516dc750	endpoint_ed922b7e66e576f499b2	24370343.75	363.511	19	7	12	2484	4362	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,334,-255,-255,-122,-662,-582,-24,24]	[0.0,33.432,0.005,0.005,0.003,0.007,0.007,36.157,0.008,0.01,0.007,38.3,0.86,0.005,49.413,0.012,25.326,0.012,34.642]
CryptoBounty-Benign_s_a535c48583127bec8fce	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_f18a0a68a797b42f1c18	endpoint_ed922b7e66e576f499b2	29385562.5	384.16	19	7	12	2328	4144	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,278,244,-255,-255,-121,-534,-493,-24,24]	[0.0,54.864,0.011,0.008,0.007,0.006,0.006,43.589,0.006,0.003,0.004,45.814,0.709,0.005,45.83,0.012,21.975,0.017,41.365]
CryptoBounty-Benign_s_7164cbcb6cfff6d4fb7c	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_91be8b718366c0f26c5f	endpoint_ed922b7e66e576f499b2	29588437.5	343.9	21	8	13	2559	4533	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,342,-255,-255,67,-122,-662,-662,-91,-24,24]	[0.0,43.74,0.009,0.007,0.006,0.005,0.007,34.697,0.005,0.003,0.003,32.197,0.623,0.005,22.218,52.364,0.01,28.036,23.914,0.008,31.626]
CryptoBounty-Benign_s_71725dcafbc80ab0b684	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_71af576c2244516dc750	endpoint_ed922b7e66e576f499b2	33074781.25	592.122	20	8	12	2510	4301	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,278,278,-255,-255,149,-122,-662,-521,-24,24]	[0.0,74.72,0.011,0.005,0.004,0.004,0.004,82.54,0.007,0.004,0.01,71.123,12.668,0.005,44.025,90.043,0.01,30.917,0.01,45.833]
CryptoBounty-Benign_s_7429d9ab4d8c5ff48ba8	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_15910d9da3405b8b6e37	endpoint_f6ccd349fc00ac925eb0	277343.75	254.104	20	7	13	2307	4262	[1516,-1215,-6,-28,-853,-286,-74,6,74,187,278,222,-255,-255,-122,-534,-534,-76,-24,24]	[0.0,9.908,0.012,0.008,0.006,0.006,0.006,13.036,0.017,0.006,0.007,17.946,0.134,0.006,22.889,0.011,20.064,26.482,0.009,45.29]
CryptoBounty-Benign_s_97ec54d57e2bfdadb0a3	CryptoBounty-Benign_g_04525715e9c20fcbf686	CryptoBounty-Benign_u_119e382cd59940f7cc0a	endpoint_f6ccd349fc00ac925eb0	1662343.75	553.898	27	7	20	2164	13634	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,202,156,-255,-255,-123,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-417,-24,24]	[0.0,37.735,0.008,0.006,0.007,0.007,0.005,43.977,0.006,0.004,0.004,40.769,1.137,0.005,39.493,0.009,23.595,24.949,21.905,23.384,24.354,27.483,28.026,23.988,24.215,0.009,41.173]
