session_id	group_id	user_id	destination_id	capture_start_ms	duration_ms	tls_record_count	c2s_record_count	s2c_record_count	c2s_record_bytes	s2c_record_bytes	signed_tls_record_lengths	record_interarrival_ms
MapSwipe-Benign_s_0da2f5272f726d35797f	MapSwipe-Benign_g_caedfc9a08105344e72e	MapSwipe-Benign_u_a8c75c947cc0648bb889	endpoint_03cb6a2621d9336c36e5	37426979.125	384.052	20	8	12	2365	3919	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,76,-121,-432,-370,-24,24]	[0.0,39.913,0.005,0.005,0.005,0.006,0.007,44.268,0.009,0.005,0.005,36.934,0.725,0.006,24.989,53.762,0.014,31.34,0.01,32.958]
MapSwipe-Benign_s_aed132e8bd9f7636c2ee	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_f19ee69f743a0abce386	endpoint_f06e3e9afe85348dce60	3631215.125	523.463	21	8	13	2362	4113	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,73,-121,-432,-432,-132,-24,24]	[0.0,65.818,0.006,0.004,0.005,0.004,0.004,39.616,0.012,0.005,0.004,50.604,6.227,0.01,53.511,67.351,0.013,26.697,28.484,0.014,42.705]
MapSwipe-Benign_s_5f68d9e1cb012215eeb2	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_289779d589a3328bb2e2	endpoint_2be03255ce9b5439c1cb	3722850.25	591.171	21	8	13	2317	4090	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,28,-121,-432,-432,-109,-24,24]	[0.0,66.772,0.02,0.015,0.01,0.01,0.009,71.111,0.014,0.009,0.009,58.965,2.256,0.012,38.771,71.825,0.017,35.431,27.776,0.013,44.1]
MapSwipe-Benign_s_36b3dc74b3365b2b5eed	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_dd20a668b099b215b6ea	endpoint_53ac97f4e1ab1f69d0a6	3781184.625	447.889	20	8	12	2372	3820	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,83,-121,-432,-271,-24,24]	[0.0,42.918,0.006,0.004,0.003,0.004,0.003,40.169,0.008,0.006,0.005,47.869,0.659,0.005,34.806,47.552,0.011,29.12,0.008,50.418]
MapSwipe-Benign_s_da258b06a7fefe2cd561	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_cc9ee77ade995743a190	endpoint_d6bc51f73f0e1c050e17	7300014.25	362.606	20	7	13	2192	4097	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,145,-255,-255,-121,-432,-432,-116,-24,24]	[0.0,39.92,0.006,0.008,0.004,0.003,0.004,40.204,0.005,0.004,0.003,38.608,0.957,0.011,44.66,0.011,20.857,21.096,0.006,34.907]
MapSwipe-Benign_s_4a70aaced79eb9f40c53	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_578d454ac9e27e23f31b	endpoint_f08e349592965c4ad894	7595121.125	400.821	19	7	12	2270	3826	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,223,-255,-255,-121,-432,-277,-24,24]	[0.0,63.171,0.019,0.009,0.008,0.007,0.012,44.315,0.01,0.009,0.006,32.499,0.726,0.007,48.967,0.014,37.49,0.01,39.685]
MapSwipe-Benign_s_7e03467d0de3e6209414	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_5819e99cb4e97606eeb2	endpoint_2be03255ce9b5439c1cb	9300837.75	410.785	20	7	13	2256	4088	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,209,-255,-255,-121,-432,-432,-107,-24,24]	[0.0,44.843,0.007,0.004,0.004,0.005,0.004,48.922,0.006,0.004,0.007,46.183,0.808,0.009,45.026,0.013,33.237,29.175,0.006,38.449]
MapSwipe-Benign_s_ba9d4a2f128e3396783f	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_f8644e852736e59c9ac2	endpoint_53ac97f4e1ab1f69d0a6	9341638.375	355.772	19	7	12	2261	3825	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,214,-255,-255,-121,-432,-276,-24,24]	[0.0,48.467,0.006,0.004,0.003,0.003,0.004,32.194,0.009,0.006,0.006,36.586,0.991,0.005,46.765,0.008,23.159,0.011,46.184]
MapSwipe-Benign_s_62e2fb978fd6bd5841cf	MapSwipe-Benign_g_cb389c646277758a7f3b	MapSwipe-Benign_u_0a2504103a7dc039a724	endpoint_2be03255ce9b5439c1cb	10349482.5	361.517	19	7	12	2189	3829	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,142,-255,-255,-121,-432,-280,-24,24]	[0.0,45.487,0.008,0.007,0.007,0.005,0.006,39.183,0.006,0.003,0.003,40.724,0.991,0.007,47.75,0.008,26.265,0.01,38.3]
MapSwipe-Benign_s_1c9f0086d88193242687	MapSwipe-Benign_g_cb69527df7fde5af9b88	MapSwipe-Benign_u_d0e398ee1d5bf7eeaaf2	endpoint_4343112688888df9e285	2415921.125	425.726	21	8	13	2374	4052	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,85,-121,-432,-432,-71,-24,24]	[0.0,43.248,0.006,0.004,0.003,0.003,0.004,40.281,0.005,0.004,0.003,36.872,0.689,0.005,24.127,56.575,0.006,25.189,42.803,0.006,43.985]
