group_id	base_group_id	perturbation_level	base_sessions	output_sessions	dropped_sessions	substituted_sessions	rotated_endpoints	jittered_sessions	payload_changed_sessions	background_sessions
ceb_g_e6b25fd0d52e7f6ac518	cea_g_056eb35ed76002a88476	0.60	49	48	5	4	25	44	44	4
ceb_g_f467a8dc50b9fee70cdb	cea_g_05b80a7264bc8318af70	0.10	41	42	0	0	8	41	41	1
ceb_g_70c910d2eae23f9cc436	cea_g_05b80a7264bc8318af70	0.20	41	39	3	1	5	38	38	1
ceb_g_d46f74ded909f5d1b706	cea_g_05b80a7264bc8318af70	0.30	41	43	0	2	11	41	41	2
ceb_g_31db138e9a16406737d9	cea_g_05b80a7264bc8318af70	0.40	41	38	5	2	11	36	36	2
ceb_g_8b8c90875a050ff36c5a	cea_g_05b80a7264bc8318af70	0.50	41	43	1	5	21	40	40	3
ceb_g_a486067d6a8b18c60c86	cea_g_05b80a7264bc8318af70	0.60	41	40	5	4	23	36	36	4
ceb_g_c72846982dea6de220a1	cea_g_05c077893776037bc5bf	0.10	43	44	0	0	3	43	42	1
ceb_g_018b83f0a86dd902be1e	cea_g_05c077893776037bc5bf	0.20	43	43	1	1	9	42	42	1
ceb_g_71fe70d263ae8375a0ba	cea_g_05c077893776037bc5bf	0.30	43	45	0	4	14	43	43	2
ceb_g_2673ea33ecbd1cf05f36	cea_g_05c077893776037bc5bf	0.40	43	44	2	0	14	41	41	3
ceb_g_eef335a9630cff3420a1	cea_g_05c077893776037bc5bf	0.50	43	43	3	4	20	40	40	3
ceb_g_5d16fdff8fd4589b16e9	cea_g_05c077893776037bc5bf	0.60	43	45	2	6	26	41	40	4
ceb_g_1b4a1973281a6f97b683	cea_g_05f0831ae27742f02817	0.10	60	60	1	1	6	59	56	1
ceb_g_186c2b1030b32acb7c94	cea_g_05f0831ae27742f02817	0.20	60	57	5	1	11	55	55	2
ceb_g_422c4d06828f096f02cf	cea_g_05f0831ae27742f02817	0.30	60	59	4	3	23	56	56	3
ceb_g_c14b559ab8350bbeb454	cea_g_05f0831ae27742f02817	0.40	60	61	3	3	25	57	56	4
ceb_g_8713461fc42ba89f1908	cea_g_05f0831ae27742f02817	0.50	60	56	8	3	33	52	52	4
ceb_g_cfc65e74526457db1cae	cea_g_05f0831ae27742f02817	0.60	60	58	7	6	33	53	53	5
ceb_g_6e5684acfb94490285d5	cea_g_0614dd8a3ec62552d6cd	0.10	47	48	0	3	3	47	46	1
ceb_g_175e08daee7f4f815ae7	cea_g_0614dd8a3ec62552d6cd	0.20	47	47	1	3	6	46	45	1
ceb_g_8de548c97cb0970c760b	cea_g_0614dd8a3ec62552d6cd	0.30	47	45	4	3	11	43	43	2
ceb_g_7d317dc90044986d1fc6	cea_g_0614dd8a3ec62552d6cd	0.40	47	46	4	1	21	43	43	3
ceb_g_8a62475b4eddb4300135	cea_g_0614dd8a3ec62552d6cd	0.50	47	46	5	3	15	42	42	4
