group_id	base_group_id	perturbation_level	base_sessions	output_sessions	dropped_sessions	substituted_sessions	rotated_endpoints	jittered_sessions	payload_changed_sessions	background_sessions
ceb_g_255829958631989aab73	cea_g_3d042f33bb65a62e62f3	0.40	59	54	9	2	24	50	50	4
ceb_g_58afff4e8fba3db64847	cea_g_3d042f33bb65a62e62f3	0.50	59	56	7	4	26	52	52	4
ceb_g_b29fdefe363c726da625	cea_g_3d042f33bb65a62e62f3	0.60	59	57	7	2	31	52	52	5
ceb_g_dd552159970275dec936	cea_g_3d835b2c6fc74058f78f	0.10	47	48	0	0	5	47	45	1
ceb_g_931d7f764b832ba95d4c	cea_g_3d835b2c6fc74058f78f	0.20	47	45	3	4	4	44	44	1
ceb_g_81db36b943587564705c	cea_g_3d835b2c6fc74058f78f	0.30	47	46	3	2	19	44	44	2
ceb_g_f0eaaa0d60addad78829	cea_g_3d835b2c6fc74058f78f	0.40	47	44	6	3	14	41	41	3
ceb_g_12eabd278e1446fc3be0	cea_g_3d835b2c6fc74058f78f	0.50	47	46	5	2	16	42	42	4
ceb_g_6c6b8d5dc002c0aa24ee	cea_g_3d835b2c6fc74058f78f	0.60	47	48	3	6	22	44	44	4
ceb_g_b76dcf1ba49da617a294	cea_g_3e34b3bf7d8f4b418f33	0.10	63	63	1	0	3	62	61	1
ceb_g_8c2e0661a180ccdf14ee	cea_g_3e34b3bf7d8f4b418f33	0.20	63	63	2	1	15	61	61	2
ceb_g_803c67d717fb527d4f18	cea_g_3e34b3bf7d8f4b418f33	0.30	63	63	3	2	11	60	58	3
ceb_g_82957c0246a8832648dd	cea_g_3e34b3bf7d8f4b418f33	0.40	63	61	6	1	22	57	56	4
ceb_g_5f1ddb23100ace978675	cea_g_3e34b3bf7d8f4b418f33	0.50	63	64	4	5	33	59	59	5
ceb_g_8771b97799dc9d9a6842	cea_g_3e34b3bf7d8f4b418f33	0.60	63	62	7	5	28	56	56	6
ceb_g_52294dd52c9eb99fadf5	cea_g_3e353bbffbec138b70fd	0.10	52	53	0	2	7	52	52	1
ceb_g_871ec62542dde27cf417	cea_g_3e353bbffbec138b70fd	0.20	52	50	4	0	8	48	48	2
ceb_g_802c99ca0fb16b028df8	cea_g_3e353bbffbec138b70fd	0.30	52	50	4	4	15	48	47	2
ceb_g_aeb65a6c75d986f5beb0	cea_g_3e353bbffbec138b70fd	0.40	52	49	6	4	15	46	46	3
ceb_g_c6e60cbcc08d4cd1f01c	cea_g_3e353bbffbec138b70fd	0.50	52	52	4	5	27	48	48	4
ceb_g_f8eab6d72f16ae407ba7	cea_g_3e353bbffbec138b70fd	0.60	52	50	7	3	30	45	45	5
ceb_g_bec2ae9bfaafb4f23eae	cea_g_3e95f045958b320125df	0.10	59	59	1	0	7	58	58	1
ceb_g_fef4b5a9d5b7e240cbdb	cea_g_3e95f045958b320125df	0.20	59	61	0	4	10	59	58	2
ceb_g_36b2b51effd95ae11d50	cea_g_3e95f045958b320125df	0.30	59	59	3	2	16	56	56	3
ceb_g_4e1b2b5fb3554c7c1504	cea_g_3e95f045958b320125df	0.40	59	59	4	2	19	55	54	4
ceb_g_cbb5fb720908e16dc8d4	cea_g_3e95f045958b320125df	0.50	59	52	11	3	21	48	48	4
ceb_g_ce85d604f381cce0f816	cea_g_3e95f045958b320125df	0.60	59	58	6	6	29	53	53	5
ceb_g_28cbb7dfc4aa64cf55bc	cea_g_3eb4cd6c8eb72f6d4b9e	0.10	65	62	4	2	5	61	61	1
ceb_g_343d1854b158a198c2b4	cea_g_3eb4cd6c8eb72f6d4b9e	0.20	65	64	3	4	19	62	61	2
ceb_g_3564bdfa1446a13354d6	cea_g_3eb4cd6c8eb72f6d4b9e	0.30	65	64	4	1	16	61	61	3
ceb_g_4ad9e33a1f9cbb4fa679	cea_g_3eb4cd6c8eb72f6d4b9e	0.40	65	63	6	4	24	59	59	4
ceb_g_bc6b30096850c4a66e68	cea_g_3eb4cd6c8eb72f6d4b9e	0.50	65	61	9	3	25	56	56	5
ceb_g_10aa4bf1c0cdd81d6930	cea_g_3eb4cd6c8eb72f6d4b9e	0.60	65	59	12	4	28	53	53	6
ceb_g_1f6dc9fa26645e1bc6aa	cea_g_3f8e46b706a4aacec3a6	0.10	46	45	2	1	5	44	43	1
ceb_g_8d83dd0bc0e19f749038	cea_g_3f8e46b706a4aacec3a6	0.20	46	43	4	1	8	42	42	1
ceb_g_831409754fc8c1afe4dd	cea_g_3f8e46b706a4aacec3a6	0.30	46	45	3	3	12	43	43	2
ceb_g_d120b917932760f4aa6f	cea_g_3f8e46b706a4aacec3a6	0.40	46	45	4	1	12	42	42	3
ceb_g_e3d580586ef512a4b936	cea_g_3f8e46b706a4aacec3a6	0.50	46	44	5	2	18	41	40	3
ceb_g_44e72ddbe03e67c9f445	cea_g_3f8e46b706a4aacec3a6	0.60	46	44	6	2	20	40	39	4
ceb_g_34b81b3025ced4e0f5af	cea_g_3f913c76447ea7ce77ff	0.10	52	53	0	0	6	52	51	1
ceb_g_f59187d76ec0cedccec1	cea_g_3f913c76447ea7ce77ff	0.20	52	53	1	6	13	51	51	2
ceb_g_704517722804497bb7dc	cea_g_3f913c76447ea7ce77ff	0.30	52	53	1	4	14	51	51	2
ceb_g_ea4964c0f7e28019143a	cea_g_3f913c76447ea7ce77ff	0.40	52	48	7	0	17	45	44	3
ceb_g_9d2a6a966605919adcec	cea_g_3f913c76447ea7ce77ff	0.50	52	48	8	4	21	44	42	4
ceb_g_cda809298c322fe12179	cea_g_3f913c76447ea7ce77ff	0.60	52	51	6	5	26	46	46	5
ceb_g_6a4961314d2dd6a6f609	cea_g_402db7c0a8cd4886e759	0.10	65	65	1	1	8	64	64	1
ceb_g_b543e11ec4db928ceb0a	cea_g_402db7c0a8cd4886e759	0.20	65	63	4	2	12	61	61	2
ceb_g_624e24c80292d0bf64d3	cea_g_402db7c0a8cd4886e759	0.30	65	63	5	3	17	60	60	3
ceb_g_59fffee899e7e2508076	cea_g_402db7c0a8cd4886e759	0.40	65	67	2	5	30	63	62	4
ceb_g_17140a7599484c198c06	cea_g_402db7c0a8cd4886e759	0.50	65	65	5	5	28	60	60	5
ceb_g_c62f68b905ffed9c755d	cea_g_402db7c0a8cd4886e759	0.60	65	66	5	4	45	60	59	6
ceb_g_edac841f92e47e08b507	cea_g_40324d547338725121e6	0.10	54	54	1	0	2	53	51	1
ceb_g_95cd5e165387144825a8	cea_g_40324d547338725121e6	0.20	54	55	1	1	13	53	51	2
ceb_g_9030bb091f004d7ddd24	cea_g_40324d547338725121e6	0.30	54	56	0	2	11	54	54	2
ceb_g_0b4599b49f3b55756e09	cea_g_40324d547338725121e6	0.40	54	54	3	2	26	51	51	3
ceb_g_202111ff6c8adc8e5807	cea_g_40324d547338725121e6	0.50	54	52	6	3	18	48	48	4
ceb_g_5306ccb5c3a16c1d9fc3	cea_g_40324d547338725121e6	0.60	54	51	8	3	28	46	45	5
ceb_g_6f50b5b50559c3237a67	cea_g_4052b1cc2b6cf03daf89	0.10	59	59	1	3	7	58	57	1
ceb_g_57792a907c3928e63351	cea_g_4052b1cc2b6cf03daf89	0.20	59	58	3	1	12	56	56	2
ceb_g_42e4146b2a10bd67efaa	cea_g_4052b1cc2b6cf03daf89	0.30	59	61	1	5	15	58	58	3
ceb_g_c701af4b9cda6a040fb8	cea_g_4052b1cc2b6cf03daf89	0.40	59	60	3	2	23	56	56	4
ceb_g_b4b0b7b704a7b8880a1d	cea_g_4052b1cc2b6cf03daf89	0.50	59	57	6	6	28	53	53	4
ceb_g_b3657640b8bdd54f3557	cea_g_4052b1cc2b6cf03daf89	0.60	59	60	4	3	30	55	55	5
ceb_g_f6ba5943817cee2aa3dd	cea_g_40866e0edbcf9b8ff90e	0.10	50	50	1	1	6	49	49	1
ceb_g_71c703142f02ee26e6ba	cea_g_40866e0edbcf9b8ff90e	0.20	50	48	4	2	12	46	46	2
ceb_g_11e74a168a8dcd2099ac	cea_g_40866e0edbcf9b8ff90e	0.30	50	48	4	0	19	46	46	2
ceb_g_3b818bfc601221ee1f92	cea_g_40866e0edbcf9b8ff90e	0.40	50	50	3	4	12	47	47	3
ceb_g_02ca3232c56e5959c4e9	cea_g_40866e0edbcf9b8ff90e	0.50	50	48	6	0	23	44	44	4
ceb_g_9d6dcb5b93ddc29e917f	cea_g_40866e0edbcf9b8ff90e	0.60	50	48	6	5	18	44	44	4
ceb_g_7cfdc3048d59cc5a281e	cea_g_40bf9ea139e5b309784a	0.10	47	48	0	1	5	47	45	1
ceb_g_0d33f846fbb083da6e9e	cea_g_40bf9ea139e5b309784a	0.20	47	45	3	0	14	44	43	1
ceb_g_a5928d3e0ba7318652d7	cea_g_40bf9ea139e5b309784a	0.30	47	47	2	1	11	45	45	2
ceb_g_64b765b53cb5b4def1ce	cea_g_40bf9ea139e5b309784a	0.40	47	48	2	3	17	45	45	3
ceb_g_b1e931ea84e53dab27a9	cea_g_40bf9ea139e5b309784a	0.50	47	45	6	2	19	41	41	4
ceb_g_59a14e4504bcd3a60dfe	cea_g_40bf9ea139e5b309784a	0.60	47	47	4	1	22	43	43	4
ceb_g_9ddb0bae331f4f0f539b	cea_g_40e02c3ab68a14171e6f	0.10	57	56	2	1	3	55	54	1
ceb_g_a4590461d18bbf32995a	cea_g_40e02c3ab68a14171e6f	0.20	57	56	3	3	4	54	54	2
ceb_g_e9602c647dba63c4cf84	cea_g_40e02c3ab68a14171e6f	0.30	57	56	4	2	13	53	53	3
ceb_g_44edf23dec286277635e	cea_g_40e02c3ab68a14171e6f	0.40	57	55	5	4	24	52	51	3
ceb_g_f7fa107f3475cf91dd23	cea_g_40e02c3ab68a14171e6f	0.50	57	57	4	2	26	53	53	4
ceb_g_5627e4b707fb2fb5ee0f	cea_g_40e02c3ab68a14171e6f	0.60	57	56	6	4	30	51	50	5
ceb_g_c4d12f558440327a0a23	cea_g_42077b2e3c3d7da83a8e	0.10	44	45	0	2	4	44	44	1
ceb_g_cafd43e09bc72dcc056f	cea_g_42077b2e3c3d7da83a8e	0.20	44	45	0	1	10	44	44	1
ceb_g_2b08307f9ac97c7d459f	cea_g_42077b2e3c3d7da83a8e	0.30	44	43	3	3	11	41	41	2
ceb_g_30ccd805f90147cf0900	cea_g_42077b2e3c3d7da83a8e	0.40	44	44	3	2	14	41	41	3
ceb_g_af791d4b5091589a3af4	cea_g_42077b2e3c3d7da83a8e	0.50	44	42	5	1	22	39	39	3
ceb_g_ec074103865e58c4009b	cea_g_42077b2e3c3d7da83a8e	0.60	44	40	8	5	22	36	36	4
ceb_g_1bc78ceef8b6f7019f31	cea_g_4215fc61edd965b992de	0.10	45	46	0	0	9	45	44	1
ceb_g_a11eb2669f7558e14bae	cea_g_4215fc61edd965b992de	0.20	45	46	0	1	14	45	45	1
ceb_g_650b92eb62af88175f1e	cea_g_4215fc61edd965b992de	0.30	45	43	4	1	14	41	41	2
ceb_g_e3d917fd4e7853514bf4	cea_g_4215fc61edd965b992de	0.40	45	43	5	1	16	40	40	3
ceb_g_aa8874e04e87f306093d	cea_g_4215fc61edd965b992de	0.50	45	40	8	2	19	37	37	3
ceb_g_561581a5cadc57171358	cea_g_4215fc61edd965b992de	0.60	45	37	12	1	17	33	33	4
ceb_g_212e0a943fe13e2e9e7b	cea_g_4253ccd7b412b26f8263	0.10	54	55	0	3	4	54	54	1
ceb_g_020c38c2e88aead5d560	cea_g_4253ccd7b412b26f8263	0.20	54	54	2	3	6	52	52	2
ceb_g_ad9e7c4714edacfbd909	cea_g_4253ccd7b412b26f8263	0.30	54	53	3	2	20	51	51	2
ceb_g_120eb1f51ea9bfce6852	cea_g_4253ccd7b412b26f8263	0.40	54	54	3	4	22	51	51	3
ceb_g_afe9c73a007133ddf67c	cea_g_4253ccd7b412b26f8263	0.50	54	55	3	5	24	51	50	4
ceb_g_854a880627dc8fe0f2e1	cea_g_4253ccd7b412b26f8263	0.60	54	52	7	5	22	47	47	5
ceb_g_0d2a92292b05723a780d	cea_g_4345aa1e4066f757f65a	0.10	45	44	2	1	2	43	42	1
ceb_g_596c7d79145ad1e58930	cea_g_4345aa1e4066f757f65a	0.20	45	41	5	2	4	40	40	1
ceb_g_a05a596b929659ffa13c	cea_g_4345aa1e4066f757f65a	0.30	45	46	1	1	16	44	44	2
ceb_g_1bb31a80ecf820d38adc	cea_g_4345aa1e4066f757f65a	0.40	45	47	1	5	14	44	44	3
ceb_g_be1bdb4d8bf010968c58	cea_g_4345aa1e4066f757f65a	0.50	45	47	1	2	20	44	44	3
ceb_g_2faf6f000b4330e54b95	cea_g_4345aa1e4066f757f65a	0.60	45	41	8	4	23	37	37	4
ceb_g_ecda8fa659267bb1f060	cea_g_437d3f1e015b3eeba186	0.10	41	41	1	0	1	40	39	1
ceb_g_8e0757b8d0a80e5af5e9	cea_g_437d3f1e015b3eeba186	0.20	41	38	4	2	10	37	37	1
ceb_g_19ff96c40a51771f7ddb	cea_g_437d3f1e015b3eeba186	0.30	41	42	1	2	8	40	40	2
ceb_g_5485c86b00f287ac609d	cea_g_437d3f1e015b3eeba186	0.40	41	38	5	5	9	36	36	2
ceb_g_cf26319d13fb43e5d057	cea_g_437d3f1e015b3eeba186	0.50	41	39	5	4	26	36	36	3
ceb_g_adbb5dae7dfc48fb09bf	cea_g_437d3f1e015b3eeba186	0.60	41	40	5	5	22	36	36	4
ceb_g_d61133fbe8c9d485add9	cea_g_44557efd7d47d4cfe6a1	0.10	51	52	0	1	2	51	50	1
ceb_g_df147ccf2f620f40e10a	cea_g_44557efd7d47d4cfe6a1	0.20	51	52	1	1	9	50	49	2
ceb_g_8d25ea6ceb985a1d7598	cea_g_44557efd7d47d4cfe6a1	0.30	51	50	3	1	14	48	48	2
ceb_g_cf321346ac49422de34e	cea_g_44557efd7d47d4cfe6a1	0.40	51	52	2	5	17	49	49	3
ceb_g_3a7055158b6cb638248e	cea_g_44557efd7d47d4cfe6a1	0.50	51	49	6	3	20	45	45	4
ceb_g_8edaca7789c7eba9df9a	cea_g_44557efd7d47d4cfe6a1	0.60	51	49	7	8	26	44	44	5
ceb_g_5c81db411267a1b75b78	cea_g_4461a253dc6a7bf95f45	0.10	45	44	2	1	1	43	42	1
ceb_g_e424e5c633a73d8163e0	cea_g_4461a253dc6a7bf95f45	0.20	45	44	2	2	8	43	42	1
ceb_g_35fddcb99e5dd3e2cada	cea_g_4461a253dc6a7bf95f45	0.30	45	45	2	2	9	43	42	2
ceb_g_465aa8a9ebf480b1a1f8	cea_g_4461a253dc6a7bf95f45	0.40	45	46	2	1	21	43	43	3
ceb_g_9be05f0d24ae1e3ee19d	cea_g_4461a253dc6a7bf95f45	0.50	45	46	2	2	21	43	43	3
ceb_g_d3f40dd716784ff59cea	cea_g_4461a253dc6a7bf95f45	0.60	45	46	3	2	28	42	42	4
ceb_g_ebc5ffd76ef33f47cc3a	cea_g_446a929ccf205fe490ac	0.10	51	51	1	0	6	50	50	1
ceb_g_384ed52611313ac384de	cea_g_446a929ccf205fe490ac	0.20	51	48	5	2	12	46	46	2
ceb_g_d1345daf47d85fe490c9	cea_g_446a929ccf205fe490ac	0.30	51	49	4	2	9	47	46	2
ceb_g_23a61a0f0f59512f615f	cea_g_446a929ccf205fe490ac	0.40	51	48	6	6	19	45	45	3
ceb_g_20af1a7fcdf7588c4a32	cea_g_446a929ccf205fe490ac	0.50	51	54	1	3	23	50	49	4
ceb_g_99fd6a00d10e003542c7	cea_g_446a929ccf205fe490ac	0.60	51	51	5	5	31	46	46	5
ceb_g_aecf0cdf47d4f906777e	cea_g_4483d248c793c50f726c	0.10	46	43	4	2	7	42	41	1
ceb_g_f0304af3117a2c835b4d	cea_g_4483d248c793c50f726c	0.20	46	46	1	0	7	45	45	1
ceb_g_5c97facb058c99b723e2	cea_g_4483d248c793c50f726c	0.30	46	46	2	3	15	44	44	2
ceb_g_b6bd8f96370f0c0e1e9d	cea_g_4483d248c793c50f726c	0.40	46	46	3	4	20	43	43	3
ceb_g_34871d7ee26aa8dc40e3	cea_g_4483d248c793c50f726c	0.50	46	43	6	2	24	40	39	3
ceb_g_db47574c1990d8c560fc	cea_g_4483d248c793c50f726c	0.60	46	44	6	6	26	40	40	4
ceb_g_378cd990f4551c5a9ae1	cea_g_454aaf65cbd9087bc8d2	0.10	47	44	4	0	3	43	43	1
ceb_g_e7e6c2a0c5d62b144d4f	cea_g_454aaf65cbd9087bc8d2	0.20	47	47	1	1	10	46	46	1
ceb_g_572efdea8017cec69f57	cea_g_454aaf65cbd9087bc8d2	0.30	47	44	5	3	15	42	42	2
ceb_g_811c0af02ddfc6b813a5	cea_g_454aaf65cbd9087bc8d2	0.40	47	43	7	3	18	40	40	3
ceb_g_5bb03dc01a33c2ea3746	cea_g_454aaf65cbd9087bc8d2	0.50	47	50	1	3	24	46	46	4
ceb_g_16fda431ac83e5273a22	cea_g_454aaf65cbd9087bc8d2	0.60	47	46	5	4	26	42	41	4
ceb_g_d5c4b7b270cea37ba0d4	cea_g_454e38447448df04c35e	0.10	69	68	2	2	4	67	67	1
ceb_g_f01bf9a72bffde899f38	cea_g_454e38447448df04c35e	0.20	69	69	2	1	13	67	67	2
ceb_g_27bc4dd8fa176968b4d7	cea_g_454e38447448df04c35e	0.30	69	70	2	5	20	67	66	3
ceb_g_ab031826e61112c6e096	cea_g_454e38447448df04c35e	0.40	69	67	6	6	29	63	63	4
ceb_g_3fc03e50f58f0aa1cbde	cea_g_454e38447448df04c35e	0.50	69	67	7	11	36	62	59	5
ceb_g_c86e0f47b0a2a83aa9ee	cea_g_454e38447448df04c35e	0.60	69	65	10	5	41	59	59	6
ceb_g_1545c9932ff42ae0ffa5	cea_g_459ec9a11c93ecd7d4fa	0.10	48	48	1	2	9	47	46	1
ceb_g_0b247fb394d74476a028	cea_g_459ec9a11c93ecd7d4fa	0.20	48	43	6	2	4	42	42	1
ceb_g_833e0c4cf5074dff67f8	cea_g_459ec9a11c93ecd7d4fa	0.30	48	46	4	4	12	44	44	2
ceb_g_65f0fa2b30403819bde7	cea_g_459ec9a11c93ecd7d4fa	0.40	48	50	1	2	21	47	46	3
ceb_g_c3c3edf7ec0f8deabbb1	cea_g_459ec9a11c93ecd7d4fa	0.50	48	51	1	7	20	47	46	4
ceb_g_81240e4565829f0f0cae	cea_g_459ec9a11c93ecd7d4fa	0.60	48	48	4	3	29	44	44	4
ceb_g_237f102405b4ac3b8869	cea_g_45d623003863490fd69f	0.10	51	52	0	2	4	51	51	1
ceb_g_f96260597245ee76c296	cea_g_45d623003863490fd69f	0.20	51	52	1	1	8	50	50	2
ceb_g_6b7bf18dd14abc8beeac	cea_g_45d623003863490fd69f	0.30	51	50	3	4	18	48	48	2
ceb_g_076df7bd5ff72bb29c85	cea_g_45d623003863490fd69f	0.40	51	50	4	2	20	47	47	3
ceb_g_c0896145414908bf7b45	cea_g_45d623003863490fd69f	0.50	51	50	5	3	21	46	46	4
ceb_g_7310d3bbe12cdd8d88ea	cea_g_45d623003863490fd69f	0.60	51	49	7	4	29	44	44	5
ceb_g_6303c043292fccc3e449	cea_g_45f549f05064364fd113	0.10	51	51	1	2	5	50	47	1
ceb_g_a641737ee6876e680c3b	cea_g_45f549f05064364fd113	0.20	51	50	3	0	8	48	47	2
ceb_g_2108dd36f6d39fb8844f	cea_g_45f549f05064364fd113	0.30	51	51	2	2	14	49	49	2
ceb_g_0f27d095d0159e0ef89e	cea_g_45f549f05064364fd113	0.40	51	50	4	3	21	47	47	3
ceb_g_6c96fd9fd942e19c5c13	cea_g_45f549f05064364fd113	0.50	51	51	4	1	21	47	47	4
ceb_g_008f5e3c0df360d35c72	cea_g_45f549f05064364fd113	0.60	51	46	10	2	24	41	41	5
ceb_g_dbb5110c45a641d0c36e	cea_g_4687557462960f3637c5	0.10	46	47	0	1	4	46	44	1
ceb_g_bef14934f9782948a694	cea_g_4687557462960f3637c5	0.20	46	45	2	3	9	44	44	1
ceb_g_fadaad5d24aca39b9c49	cea_g_4687557462960f3637c5	0.30	46	47	1	3	12	45	45	2
ceb_g_a73f5121b26d9112fe8d	cea_g_4687557462960f3637c5	0.40	46	43	6	1	11	40	40	3
ceb_g_965510d60241f7d9c6e7	cea_g_4687557462960f3637c5	0.50	46	40	9	3	19	37	37	3
ceb_g_cebaabd978277eae2b5d	cea_g_4687557462960f3637c5	0.60	46	44	6	4	24	40	40	4
ceb_g_f3d30df9b211be97915e	cea_g_46ac0c148878ec2f107c	0.10	57	58	0	4	3	57	57	1
ceb_g_6472a35e4a01b54a3e01	cea_g_46ac0c148878ec2f107c	0.20	57	58	1	0	9	56	56	2
ceb_g_fe848f2b290471eaf3fb	cea_g_46ac0c148878ec2f107c	0.30	57	53	7	1	17	50	50	3
ceb_g_a89a69bcc4e27393bdcc	cea_g_46ac0c148878ec2f107c	0.40	57	54	6	2	30	51	51	3
ceb_g_0c81e38421b5cf5ebcec	cea_g_46ac0c148878ec2f107c	0.50	57	60	1	1	26	56	56	4
ceb_g_f4f20ad18c0c36a07540	cea_g_46ac0c148878ec2f107c	0.60	57	55	7	3	35	50	50	5
ceb_g_4e0c0623faee1e195288	cea_g_47517d546629e4334103	0.10	66	65	2	2	4	64	62	1
ceb_g_0df8bd2c5e2cb7f7da22	cea_g_47517d546629e4334103	0.20	66	67	1	1	15	65	65	2
ceb_g_684fea86b50e60241266	cea_g_47517d546629e4334103	0.30	66	68	1	2	22	65	65	3
ceb_g_414a116236bdaf759071	cea_g_47517d546629e4334103	0.40	66	63	7	4	29	59	58	4
ceb_g_b8482db590a8c17c7d82	cea_g_47517d546629e4334103	0.50	66	65	6	4	31	60	60	5
ceb_g_9cc7670391533e226782	cea_g_47517d546629e4334103	0.60	66	65	7	4	29	59	59	6
ceb_g_d6555bc9ad5bed020188	cea_g_478a8f5d3e8485aa193b	0.10	53	53	1	0	5	52	51	1
ceb_g_cfbd6cb227ac36c79d5c	cea_g_478a8f5d3e8485aa193b	0.20	53	54	1	1	6	52	51	2
ceb_g_eeb6ee2a6816ff9ad9d1	cea_g_478a8f5d3e8485aa193b	0.30	53	52	3	3	12	50	50	2
ceb_g_e16917282223b05f8a17	cea_g_478a8f5d3e8485aa193b	0.40	53	53	3	1	16	50	49	3
ceb_g_13e7eeb1532d2d181cea	cea_g_478a8f5d3e8485aa193b	0.50	53	53	4	4	22	49	49	4
ceb_g_bad75dd24f45c234ab52	cea_g_478a8f5d3e8485aa193b	0.60	53	49	9	1	25	44	43	5
ceb_g_7aa656392fa911cfa40e	cea_g_47ec9e97db3871adf179	0.10	53	51	3	2	6	50	50	1
ceb_g_10a0d4af381acccbe254	cea_g_47ec9e97db3871adf179	0.20	53	50	5	1	13	48	48	2
ceb_g_3b9addcbbb85322ed764	cea_g_47ec9e97db3871adf179	0.30	53	49	6	1	11	47	47	2
ceb_g_5b610ac8aa2e6000f501	cea_g_47ec9e97db3871adf179	0.40	53	53	3	6	20	50	50	3
ceb_g_0f8868dea5185df21152	cea_g_47ec9e97db3871adf179	0.50	53	50	7	4	28	46	46	4
ceb_g_659924edc090903bd942	cea_g_47ec9e97db3871adf179	0.60	53	51	7	5	30	46	45	5
ceb_g_2585b26ce4645e5b7e29	cea_g_4871a57f25b35572936f	0.10	53	54	0	0	6	53	51	1
ceb_g_b1e9773628430d24c59c	cea_g_4871a57f25b35572936f	0.20	53	53	2	3	15	51	50	2
ceb_g_3fa6e4488388ec26ab6e	cea_g_4871a57f25b35572936f	0.30	53	54	1	2	18	52	51	2
ceb_g_667cd98fee827556feab	cea_g_4871a57f25b35572936f	0.40	53	53	3	3	17	50	49	3
ceb_g_7bba00f22b9a35305455	cea_g_4871a57f25b35572936f	0.50	53	52	5	2	20	48	48	4
ceb_g_830f4a526572e2c24ec2	cea_g_4871a57f25b35572936f	0.60	53	50	8	3	29	45	45	5
ceb_g_f130db268b3a3ba2e659	cea_g_4889750ebe74eb9c1c3a	0.10	54	54	1	1	4	53	53	1
ceb_g_998133c07d7169555f23	cea_g_4889750ebe74eb9c1c3a	0.20	54	56	0	2	6	54	54	2
ceb_g_3e513db628457e3bf8fd	cea_g_4889750ebe74eb9c1c3a	0.30	54	50	6	3	11	48	47	2
ceb_g_376b2e72a296fd820611	cea_g_4889750ebe74eb9c1c3a	0.40	54	52	5	1	24	49	48	3
ceb_g_9dded1b57560212f5d8c	cea_g_4889750ebe74eb9c1c3a	0.50	54	53	5	3	28	49	49	4
ceb_g_ea2fb698653c765bb20e	cea_g_4889750ebe74eb9c1c3a	0.60	54	53	6	4	29	48	48	5
ceb_g_55d3f2cf6bc129fa7f5e	cea_g_48abf2d6ea7c4fb6ecf2	0.10	41	41	1	0	2	40	39	1
ceb_g_8b063b469f20f0f1a572	cea_g_48abf2d6ea7c4fb6ecf2	0.20	41	39	3	3	6	38	38	1
ceb_g_a091306ce5f25d3af461	cea_g_48abf2d6ea7c4fb6ecf2	0.30	41	43	0	3	11	41	41	2
ceb_g_c710b69891a55d9a8d23	cea_g_48abf2d6ea7c4fb6ecf2	0.40	41	37	6	1	17	35	35	2
ceb_g_d6febc58a27b2225827c	cea_g_48abf2d6ea7c4fb6ecf2	0.50	41	42	2	4	18	39	39	3
ceb_g_b58c9bcfd666b63c30ab	cea_g_48abf2d6ea7c4fb6ecf2	0.60	41	39	6	6	18	35	34	4
ceb_g_f294b1934db34abf3f95	cea_g_49ab763d433bef660d90	0.10	48	46	3	1	4	45	45	1
ceb_g_764d3ba86e411a84ef68	cea_g_49ab763d433bef660d90	0.20	48	45	4	1	8	44	44	1
ceb_g_7124edaa5615f60aef54	cea_g_49ab763d433bef660d90	0.30	48	44	6	0	19	42	42	2
ceb_g_c1684cdd10e08bf62e80	cea_g_49ab763d433bef660d90	0.40	48	49	2	1	20	46	45	3
ceb_g_dc759ddb6ef38532c771	cea_g_49ab763d433bef660d90	0.50	48	45	7	2	23	41	41	4
ceb_g_395739459758266141ef	cea_g_49ab763d433bef660d90	0.60	48	47	5	1	27	43	43	4
ceb_g_4dd8e6048c523d0d623c	cea_g_49bbb5f470da9408c36f	0.10	57	57	1	0	5	56	56	1
ceb_g_f2e4c998594ed5d48464	cea_g_49bbb5f470da9408c36f	0.20	57	56	3	0	9	54	54	2
ceb_g_55778ff6de6afb019bda	cea_g_49bbb5f470da9408c36f	0.30	57	56	4	2	20	53	53	3
ceb_g_80eb3cf85a5860b384f2	cea_g_49bbb5f470da9408c36f	0.40	57	57	3	5	17	54	54	3
ceb_g_3ae57ccbad8e1e411402	cea_g_49bbb5f470da9408c36f	0.50	57	52	9	3	30	48	48	4
ceb_g_f7609ca6c62aee08a8d3	cea_g_49bbb5f470da9408c36f	0.60	57	52	10	1	32	47	47	5
ceb_g_18dac5b6218083ece5b8	cea_g_4a2cbddb1adf7edcb2b5	0.10	49	49	1	1	5	48	47	1
ceb_g_d034bc3bef1f9442c68e	cea_g_4a2cbddb1adf7edcb2b5	0.20	49	48	2	2	12	47	46	1
ceb_g_0b267348fcc0878d2220	cea_g_4a2cbddb1adf7edcb2b5	0.30	49	47	4	1	6	45	44	2
ceb_g_2afd118719689515b87c	cea_g_4a2cbddb1adf7edcb2b5	0.40	49	47	5	0	19	44	44	3
ceb_g_3d0cd3ae4b73ccb7a3c1	cea_g_4a2cbddb1adf7edcb2b5	0.50	49	48	5	1	23	44	44	4
ceb_g_c207ee0b7717cc55bb29	cea_g_4a2cbddb1adf7edcb2b5	0.60	49	48	5	4	31	44	44	4
ceb_g_243310d721f6c1c362bd	cea_g_4a494ab37b379c559aae	0.10	58	59	0	1	4	58	56	1
ceb_g_22114e098a5f990b2a2f	cea_g_4a494ab37b379c559aae	0.20	58	60	0	5	14	58	58	2
ceb_g_4e45a2855ae706b375ab	cea_g_4a494ab37b379c559aae	0.30	58	58	3	1	13	55	55	3
